Index,Date,Open,High,Low,Close,Volume
SP500,2000-01-03,1469.25,1478.0,1438.36,1455.22,931800000
SP500,2000-01-04,1455.22,1455.22,1397.43,1399.42,1009000000
SP500,2000-01-05,1399.42,1413.27,1377.68,1402.11,1085500000
SP500,2000-01-06,1402.11,1411.9,1392.1,1403.45,1092300000
SP500,2000-01-07,1403.45,1441.47,1400.73,1441.47,1225200000
SP500,2000-01-10,1441.47,1464.36,1441.47,1457.6,1064800000
SP500,2000-01-11,1457.6,1458.66,1434.42,1438.56,1014000000
SP500,2000-01-12,1438.56,1442.6,1427.08,1432.25,974600000
SP500,2000-01-13,1432.25,1454.2,1432.25,1449.68,1030400000
SP500,2000-01-14,1449.68,1473.0,1449.68,1465.15,1085900000
SP500,2000-01-18,1465.15,1465.15,1451.3,1455.14,1056700000
SP500,2000-01-19,1455.14,1461.39,1448.68,1455.9,1087800000
SP500,2000-01-20,1455.9,1465.71,1438.54,1445.57,1100700000
SP500,2000-01-21,1445.57,1453.18,1439.6,1441.36,1209800000
SP500,2000-01-24,1441.36,1454.09,1395.42,1401.53,1115800000
SP500,2000-01-25,1401.53,1414.26,1388.49,1410.03,1073700000
SP500,2000-01-26,1410.03,1412.73,1400.16,1404.09,1117300000
SP500,2000-01-27,1404.09,1418.86,1370.99,1398.56,1129500000
SP500,2000-01-28,1398.56,1398.56,1356.2,1360.16,1095800000
SP500,2000-01-31,1360.16,1394.48,1350.14,1394.46,993800000
SP500,2000-02-01,1394.46,1412.49,1384.79,1409.28,981000000
SP500,2000-02-02,1409.28,1420.61,1403.49,1409.12,1038600000
SP500,2000-02-03,1409.12,1425.78,1398.52,1424.97,1146500000
SP500,2000-02-04,1424.97,1435.91,1420.63,1424.37,1045100000
SP500,2000-02-07,1424.37,1427.15,1413.33,1424.24,918100000
SP500,2000-02-08,1424.24,1441.83,1424.24,1441.72,1047700000
SP500,2000-02-09,1441.72,1444.55,1411.65,1411.71,1050500000
SP500,2000-02-10,1411.7,1422.1,1406.43,1416.83,1058800000
SP500,2000-02-11,1416.83,1416.83,1378.89,1387.12,1025700000
SP500,2000-02-14,1387.12,1394.93,1380.53,1389.94,927300000
SP500,2000-02-15,1389.94,1407.72,1376.25,1402.05,1092100000
SP500,2000-02-16,1402.05,1404.55,1385.58,1387.67,1018800000
SP500,2000-02-17,1387.67,1399.88,1380.07,1388.26,1034800000
SP500,2000-02-18,1388.26,1388.59,1345.32,1346.09,1042300000
SP500,2000-02-22,1346.09,1358.11,1331.88,1352.17,980000000
SP500,2000-02-23,1352.17,1370.11,1342.44,1360.69,993700000
SP500,2000-02-24,1360.69,1364.8,1329.88,1353.43,1215000000
